0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:40 +0530] "GET /ORSProject4/ctl/SubjectListCtl HTTP/1.1" 200 11050
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:43 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:45 +0530] "GET /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 8915
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:58 +0530] "POST /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 9031
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:53:04 +0530] "POST /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 8933
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:53:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:53:08 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:53:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:53:14 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:53:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:53:40 +0530] "GET /ORSProject4/ctl/TimeTableCtl?id=1 HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:53:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:53:42 +0530] "POST /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:55:33 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:55:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:55:37 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:55:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:56:05 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:56:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:56:07 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:56:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
